ID_3,NAME_3
1,Bagh
2,Bhimber
3,Kotli
4,Mirpur
5,Muzaffarabad
7,Poonch
8,Sudhnati
21,Jafarabad
23,Nasirabad
28,Dera Bugti
38,Khyber
41,Mohmand
43,Orakzai
45,Islamabad
46,Bannu
47,Lakki Marwat
48,Dera Ismail Khan
49,Tank
50,Adam Khel
52,Abbottabad
54,Haripur
57,Hangu
58,Karak
59,Kohat
62,Malakand P.A.
65,Buner
66,Mardan
67,Swabi
68,Charsadda
69,Nowshera
70,Peshawar
77,Bahawalnagar
78,Bahawalpur
79,Rahimyar Khan
80,Dera Ghazi Kha
81,Layyah
82,Muzaffargarh
83,Rajan Pur
84,Faisalabad
85,Jhang
86,Toba Tek Singh
87,Gujarat
88,Gujranwala 1
89,Gujranwala 2
90,Gujrat
91,Hafizabad
93,Narowal 2
94,Sialkot
95,Kasur
96,Lahore
97,Nankana Sahib
98,Okara 1
99,Okara
100,Sheikhupura
101,Khanewal
102,Lodhran
103,Multan
104,Pakpattan
105,Sahiwal
106,Vehari
107,Attok
108,Chakwal
109,Jhelum
110,Rawalpindi
111,Bhakkar
112,Khushab
113,Mianwali
114,Sargodha
115,Badin
116,Dadu
117,Hyderabad
118,Jamshoro
119,Matiari
120,Tando Allahyar
121,Tando M. Khan
122,Thatta
124,Karachi East
127,Malir
128,Jakobabad
129,Kashmore
130,Larkana
131,Shikarpur
132,Mirphurkhas
133,Mithi
134,Sanghar
135,Umerkot
136,Rann of Kutch
137,Ghotki
138,Khairpur
139,Naushahro Firoz
140,Nawab Shah
141,Sukkur
